seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Lenora,Pratt,56,Wepu Park,Dalitti,DC,66735,$5352.48,YELLOW,10/28/1963
2,Maud,Guerrero,42,Punzej River,Worvitu,DC,73897,$9428.19,GREEN,01/02/2067
3,Chase,Grant,27,Budug Parkway,Kelcotbi,MS,02726,$809.37,BLUE,03/09/2041
4,Dominic,Underwood,59,Fawa Lane,Vihasfi,KS,95284,$5878.24,WHITE,10/28/1989
5,Vincent,Abbott,57,Jagos Square,Tatetulor,MA,73925,$4235.97,YELLOW,01/17/2042
6,Sadie,Roberts,35,Vuken Place,Gokurbav,AZ,44931,$6318.71,BLUE,09/01/2038
7,Randy,Jefferson,21,Mano Path,Meunwa,KY,06391,$1909.71,BLUE,08/08/2014
8,Jackson,Cobb,36,Pedguw Heights,Webzigwur,NC,73548,$4959.48,WHITE,01/15/2033
9,Seth,Myers,59,Nacod Court,Zizmosha,WV,11256,$2892.35,YELLOW,01/29/2026
10,Alberta,Crawford,56,Uhozad Point,Divimoj,TN,81108,$4707.78,GREEN,08/25/2031
11,Richard,Thomas,18,Sufeg Parkway,Muzevza,NE,71398,$4035.27,RED,03/16/2038
12,Chad,Paul,58,Nowuj Extension,Ipaacsuz,IN,46257,$8387.82,GREEN,05/29/2012
13,Arthur,Wagner,46,Cicfe Highway,Wighokir,HI,61804,$7387.87,YELLOW,10/15/1957
14,Sarah,Thomas,47,Dorra Turnpike,Pimudahop,FL,11323,$3113.47,GREEN,10/08/1924
15,Hester,Sandoval,48,Diuza Terrace,Tujjifet,NC,93545,$7932.38,YELLOW,07/24/1998
16,Henry,Hughes,22,Zovgaw Highway,Avguzgic,NJ,88315,$8189.19,GREEN,01/05/1921
17,Emilie,Sharp,42,Puzfa Terrace,Vihopari,MA,41730,$9020.73,GREEN,08/08/2017
18,Francis,Moody,28,Ahgaz River,Gosuder,WI,05692,$4685.75,YELLOW,11/28/1963
19,Clayton,Garza,19,Safad Place,Onsufhum,NC,71553,$6050.02,GREEN,05/10/2023
20,Adrian,Ferguson,57,Nidlu Center,Bosavli,PA,50973,$5617.12,GREEN,10/13/2041
21,Carrie,Russell,21,Giad Glen,Sowemmuj,IL,96154,$5790.86,WHITE,07/10/1939
22,Dorothy,Kennedy,39,Ataho Boulevard,Wodaet,UT,15000,$4109.31,RED,10/06/2056
23,Sallie,Walton,41,Tobbo Court,Poltuhfi,TN,10662,$720.30,GREEN,02/13/2007
24,Lou,Jacobs,57,Ralcu Plaza,Ijdoni,MI,92106,$6066.70,GREEN,01/29/1996
25,Allen,Smith,46,Ebodat Key,Vuzpafeb,LA,79633,$6667.44,WHITE,01/28/2055
26,Marc,Marshall,25,Ilujo Turnpike,Milafno,NY,80585,$9933.72,RED,12/27/2001
27,Jeanette,Frank,41,Helha View,Ipocivuc,VA,73178,$7750.98,WHITE,06/03/1954
28,Rosalie,Hudson,47,Zujo Key,Behotbe,TN,20315,$5953.63,BLUE,06/04/1983
29,Allen,Hale,43,Etigo Park,Uwajepor,DC,76733,$9952.41,YELLOW,04/29/1971
30,Lora,Freeman,46,Azwag Street,Vafzoenu,CT,49917,$230.85,WHITE,12/14/2058
31,Estelle,Ferguson,37,Nepo Mill,Sibunowe,WV,40765,$5338.47,YELLOW,09/01/2017
32,Leo,Craig,27,Eplaj Court,Ijevaju,ID,07462,$2956.65,YELLOW,06/05/2007
33,Virginia,Schmidt,33,Ohuzug Way,Mukapte,AR,33115,$9683.10,YELLOW,04/11/2008
34,Jason,Allison,55,Zadev Junction,Zofdiji,DE,36877,$6244.22,BLUE,05/19/1914
35,Myrtle,Cox,46,Jumba Park,Gupzado,LA,09823,$7501.87,WHITE,04/16/2033
36,Lora,Day,32,Riteb Heights,Guwmejak,TX,52739,$505.49,YELLOW,09/06/2068
37,Antonio,Ross,36,Dugvub Trail,Sojofu,MA,20874,$7917.10,WHITE,05/19/1999
38,Lawrence,Diaz,60,Kotur Square,Rohodow,RI,69680,$7103.86,YELLOW,02/12/1939
39,Leah,Goodwin,52,Jecu Terrace,Letone,MS,50348,$7691.75,WHITE,03/31/1956
40,Roger,Terry,33,Pipo Street,Emanewit,NM,19636,$1099.03,WHITE,12/27/1981
41,Mathilda,Gill,49,Nami Pass,Decilfa,KS,00090,$845.01,WHITE,08/08/1984
42,Lottie,Tucker,31,Ebni Path,Vevkewab,TN,82886,$5658.35,YELLOW,06/18/1905
43,Agnes,Williams,62,Ipse Mill,Rokdujjet,CO,50464,$2973.71,YELLOW,04/17/2021
44,Gene,Sims,63,Hekub Pass,Ertojmu,ND,18320,$8664.63,YELLOW,10/07/1913
45,Randall,Hoffman,42,Nolat Center,Dudzemle,IA,38414,$9606.84,YELLOW,07/23/2006
46,Dustin,Daniel,24,Vovgik Extension,Louniric,IN,41085,$127.47,YELLOW,12/08/1935
47,Joseph,Byrd,63,Juvul Pass,Kacbuledi,UT,64743,$5455.29,WHITE,04/09/2002
48,Sylvia,Hamilton,32,Neepo Lane,Womtigib,NH,31555,$9388.66,GREEN,03/01/2004
49,Stanley,Cain,24,Omewam Pike,Jetudro,WY,54274,$6408.14,RED,05/10/1947
50,Hulda,Floyd,29,Vilwo Ridge,Gibozun,MD,76825,$5800.55,GREEN,08/23/1927
51,Sophia,Cooper,20,Rerpo Key,Cuzekha,UT,71726,$7698.71,WHITE,10/17/2047
52,Roger,Vargas,31,Tiji Glen,Lepari,ND,51736,$3684.31,RED,03/30/2003
53,Gary,Harris,38,Cuvu Glen,Etlifa,PA,77682,$7502.94,RED,05/15/1918
54,May,Quinn,37,Uvihug Grove,Hakduveh,MO,18253,$7182.12,WHITE,12/21/2037
55,Cody,Bishop,58,Kapduz Way,Muggobu,AR,71780,$4730.56,WHITE,04/28/1937
